barcount,date,open,high,low,close,volume,higherclose,reversal,trendsequence,adl,adx,adxr,apz_lower,apz_upper,aroonoscillator,atr,bollinger_lower,bollinger_middle,bollinger_upper,bop,camarilla_r1,camarilla_r2,camarilla_r3,camarilla_r4,camarilla_s1,camarilla_s2,camarilla_s3,camarilla_s4,cci,chaikinmoneyflow,chaikinoscillator,chaikinvolatility,choppinessindex,cmo,currentday_open,currentday_low,currentday_high,disparityindex,dm_diplus,dm_diminus,dmi,dmindex,donchian_lower,donchian_mean,donchian_upper,doublestochastics_k,easeofmovement,fibonacci_pp,fibonacci_r1,fibonacci_r2,fibonacci_r3,fibonacci_s1,fibonacci_s2,fibonacci_s3,fisherstransform,fosc,kama,keltner_lower,keltner_mean,keltner_upper,linreg,linregintercept,linregslope,macd,macd_avg,macd_diff,mama_default,mama_kama,mfi,momentum,moneyflowoscillator,orderflowcumulativedelta_deltaopen,orderflowcumulativedelta_deltaclose,orderflowcumulativedelta_deltahigh,orderflowcumulativedelta_deltalow,orderflowvwap_vwap,orderflowvwap_s1_lower,orderflowvwap_s1_higher,orderflowvwap_s2_lower,orderflowvwap_s2_higher,orderflowvwap_s3_lower,orderflowvwap_s3_higher,parabolic_sar,pfe,ppo,priceoscillator,psychologicalline,rsquared,relativevigorindex,rind,roc,rsi,rsi_avg,rss,rvi,stddev,stochrsi,stochastics_d,stochastics_k,stochasticsfast_d,stochasticsfast_k,trix,trix_signal,tsf,tsi,ultimateoscillator,vortex_viplus,vortex_viminus,volma,volume_oscillator,vroc,williamsr,wisemanawesomeoscillator,woodiescci,woodiescci_turbo,woodiespivot_pp,woodiespivot_r1,woodiespivot_r2,woodiespivot_s1,woodiespivot_s2
438,8/4/2023 08:28,15870.5,15878,15870.5,15878,1215,TRUE,FALSE,4,37518,30,23,-0.186,0.003,-71,8.6,-0.277,0.203,0.203,-0.429,-0.031,0.086,0.203,0.553,-0.265,-0.382,-0.499,-0.849,10,-20,874,0,15,-33,-0.189,-0.236,0.567,-0.071,36,51,0,46,-0.236,0,0.236,94,-1,-0.161,0.327,0.628,1.115,-0.648,-0.949,-1.436,-0.7,0.17,-0.149,-0.167,-0.096,-0.025,-0.169,0.094,-3.2,-17.4,-16.9,-0.5,-0.072,0.125,38,-38,-0.33,0,61,64,-3,0.195,-0.002,0.393,-0.2,0.591,-0.398,0.788,-0.232,-0.55,-0.106,-16.9,40,0.34,-0.5,1,-0.24,44,40,15,36,19.1,1,12,37,37,50,-0.0173,-0.0167,-0.229,-10,51,0.5,1.3,1927,261,22,-50,-49.2,10,119,-0.178,0.449,1.097,-0.827,-1.453
439,8/4/2023 08:30,15870.5,15870.5,15863,15863,591,FALSE,TRUE,1,36927,29,24,-0.084,0.105,-64,9.1,-0.169,0.243,0.243,-0.429,0.063,0.18,0.297,0.649,-0.171,-0.288,-0.405,-0.756,-22,-34,1240,0,22,-38,-0.095,-0.142,0.662,-0.153,32,51,0,40,-0.142,0.071,0.284,96,-18,-0.066,0.421,0.723,1.21,-0.554,-0.855,-1.343,-0.2,0.06,-0.054,-0.082,-0.011,0.06,-0.057,0.131,-2.3,-16.9,-16.9,0,0.022,0.215,39,-45,-0.38,0,-87,28,-87,0.289,0.09,0.487,-0.108,0.685,-0.306,0.884,-0.129,-0.52,-0.106,-16.9,40,0.53,-0.33,19,-0.28,39,40,23,34,16.3,0.75,17,40,40,33,-0.0173,-0.017,-0.1,-15,45,0.5,1.2,1749,260,45,-67,-43.4,-22,35,-0.084,0.544,1.193,-0.733,-1.36
440,8/4/2023 08:30,15863,15863,15855.5,15855.5,75,FALSE,FALSE,2,36852,29,25,-0.043,0.146,-57,8.9,-0.113,0.242,0.242,-0.429,0.111,0.228,0.345,0.696,-0.123,-0.24,-0.358,-0.709,-51,-39,1253,0,26,-38,-0.047,-0.095,0.71,-0.185,30,54,0,38,-0.095,0.095,0.284,89,-151,-0.019,0.469,0.77,1.258,-0.507,-0.808,-1.296,-0.1,0,-0.006,-0.044,0.027,0.098,-0.003,0.131,-1.6,-16.9,-16.9,0,0.067,0.258,39,-45,-0.43,0,-47,0,-47,0.336,0.137,0.534,-0.061,0.733,-0.26,0.932,-0.073,-0.5,-0.106,-16.9,40,0.34,-0.23,24,-0.28,37,38,31,33,14.1,0.64,22,36,36,25,-0.0173,-0.0171,-0.034,-21,45,0.5,1.2,1525,221,-27,-75,-40.5,-51,-58,-0.036,0.591,1.241,-0.686,-1.313
441,8/4/2023 08:30,15863,15870.5,15863,15870.5,18,TRUE,TRUE,1,36870,29,26,-0.133,0.056,-50,9.4,-0.191,0.11,0.11,-0.286,0.016,0.133,0.25,0.601,-0.218,-0.335,-0.452,-0.803,23,-42,1150,0,34,-18,-0.142,-0.189,0.614,-0.083,32,48,0,43,-0.189,-0.024,0.142,94,445,-0.113,0.374,0.675,1.163,-0.601,-0.902,-1.389,0.2,0.06,-0.099,-0.137,-0.066,0.005,-0.065,-0.016,-0.6,-15.5,-16.6,1.1,-0.026,0.116,41,-22,-0.41,0,2,2,-3,0.241,0.043,0.439,-0.156,0.638,-0.354,0.836,-0.158,-0.44,-0.104,-16.6,50,0.3,-0.17,20,-0.14,44,41,40,36,12,0.99,28,38,38,57,-0.017,-0.0171,-0.076,-11,56,0.6,1.1,1324,-13,-65,-43,-37.7,23,30,-0.131,0.496,1.145,-0.78,-1.407
442,8/4/2023 08:30,15863,15863,15855.5,15855.5,45,FALSE,TRUE,1,36825,28,26,-0.046,0.143,-43,9.8,-0.093,0.174,0.174,-0.286,0.111,0.228,0.345,0.696,-0.123,-0.24,-0.358,-0.709,-38,-41,989,0,42,-22,-0.047,-0.095,0.71,-0.164,28,48,0,39,-0.095,0.047,0.189,88,137,-0.019,0.469,0.77,1.258,-0.507,-0.808,-1.296,0.2,-0.04,-0.005,-0.043,0.028,0.099,0.035,0.046,-0.1,-15.5,-16.4,0.9,0.067,0.207,44,-30,-0.41,0,21,26,0,0.336,0.137,0.534,-0.062,0.733,-0.26,0.932,-0.056,-0.41,-0.103,-16.4,50,0.01,-0.1,34,-0.19,39,40,46,34,10.6,0.76,33,38,38,33,-0.0167,-0.0169,0.033,-16,44,0.6,1,1154,-164,-97,-67,-37.5,-38,-100,-0.036,0.591,1.241,-0.686,-1.313
443,8/4/2023 08:30,15863,15870.5,15863,15870.5,132,TRUE,TRUE,1,36957,28,27,-0.136,0.053,-36,10.2,-0.182,0.067,0.067,-0.143,0.016,0.133,0.25,0.601,-0.218,-0.335,-0.452,-0.803,57,-40,875,0,51,-5,-0.142,-0.189,0.614,-0.064,31,43,0,45,-0.189,-0.071,0.047,94,189,-0.113,0.374,0.675,1.163,-0.601,-0.902,-1.389,0.3,0.03,-0.096,-0.126,-0.055,0.016,-0.031,-0.084,0.6,-14,-15.9,1.9,-0.028,0.109,52,-8,-0.33,0,-7,9,-36,0.24,0.042,0.439,-0.157,0.638,-0.355,0.836,-0.142,-0.35,-0.1,-15.9,60,0.04,0,28,-0.05,45,43,51,37,9.9,1,39,57,57,80,-0.0162,-0.0165,-0.019,-7,50,0.6,0.8,1018,-172,-97,-20,-37.2,57,33,-0.131,0.496,1.145,-0.78,-1.407
444,8/4/2023 08:30,15870.5,15878,15870.5,15878,18,TRUE,FALSE,2,36975,26,28,-0.167,0.022,-29,10,-0.234,0.032,0.032,0,-0.031,0.086,0.203,0.553,-0.265,-0.382,-0.499,-0.849,121,-33,755,0,51,5,-0.189,-0.236,0.567,-0.016,34,41,0,49,-0.236,-0.118,0,97,723,-0.161,0.327,0.628,1.115,-0.648,-0.949,-1.436,0.7,0.04,-0.133,-0.153,-0.082,-0.011,-0.043,-0.159,1.4,-12.2,-15.2,3,-0.072,0.058,59,8,-0.26,0,7,7,-3,0.193,-0.005,0.392,-0.204,0.59,-0.402,0.788,-0.182,-0.27,-0.095,-15.2,70,0,0.13,23,0.05,48,46,57,40,10.6,1,45,71,71,100,-0.0153,-0.0159,-0.016,2,52,0.7,0.7,884,-320,-96,0,-33.9,121,133,-0.178,0.449,1.097,-0.827,-1.453
445,8/4/2023 08:30,15878,15885.5,15878,15885.5,50,TRUE,FALSE,3,37025,24,27,-0.189,-0.001,79,9.8,-0.292,0.015,0.015,0.143,-0.078,0.039,0.155,0.506,-0.312,-0.429,-0.546,-0.896,151,-25,653,0,44,16,-0.236,-0.283,0.519,0.029,38,39,0,53,-0.283,-0.142,0,98,796,-0.208,0.279,0.58,1.067,-0.695,-0.996,-1.482,1.2,0.05,-0.17,-0.181,-0.11,-0.039,-0.051,-0.225,2.1,-10,-14.1,4.2,-0.115,0.008,61,22,-0.22,0,32,32,-3,0.146,-0.053,0.344,-0.251,0.542,-0.449,0.741,-0.222,-0.19,-0.089,-14.1,70,0.18,0.27,19,0.14,51,48,66,42,12.2,1,53,93,93,100,-0.0142,-0.0151,-0.011,11,54,0.8,0.6,773,-326,-96,0,-27.7,151,135,-0.225,0.401,1.05,-0.873,-1.5
446,8/4/2023 08:30,15885.5,15893,15885.5,15893,90,TRUE,FALSE,4,37115,23,27,-0.205,-0.016,86,9.6,-0.346,0.009,0.009,0.286,-0.125,-0.009,0.108,0.459,-0.359,-0.476,-0.593,-0.943,167,-22,581,0,38,26,-0.283,-0.33,0.472,0.07,41,36,0,59,-0.33,-0.165,0,99,765,-0.255,0.232,0.533,1.019,-0.742,-1.042,-1.529,1.6,0.06,-0.205,-0.209,-0.138,-0.068,-0.058,-0.279,2.7,-7.5,-12.8,5.3,-0.093,-0.053,79,38,-0.2,0,58,58,0,0.098,-0.1,0.297,-0.298,0.495,-0.496,0.693,-0.256,-0.1,-0.081,-12.8,70,0.73,0.37,15,0.24,54,51,73,45,14.1,1,62,100,100,100,-0.0128,-0.014,-0.007,19,64,0.9,0.5,682,-396,-93,0,-21.4,167,121,-0.272,0.354,1.002,-0.92,-1.546
447,8/4/2023 08:30,15893,15900.5,15893,15900.5,76,TRUE,FALSE,5,37191,22,26,-0.215,-0.027,93,9.5,-0.389,0.005,0.005,0.429,-0.173,-0.056,0.061,0.411,-0.406,-0.523,-0.64,-0.99,174,-19,522,0,33,37,-0.33,-0.377,0.425,0.108,45,34,0,59,-0.377,-0.189,0,100,760,-0.302,0.185,0.485,0.972,-0.788,-1.089,-1.575,2.1,0.07,-0.238,-0.237,-0.167,-0.096,-0.066,-0.318,3.1,-4.9,-11.2,6.3,-0.134,-0.101,83,52,-0.15,0,50,50,0,0.051,-0.147,0.249,-0.345,0.447,-0.543,0.645,-0.282,-0.01,-0.071,-11.2,70,0.87,0.4,13,0.33,57,54,81,49,15.6,1,71,100,100,100,-0.0112,-0.0126,-0.008,27,71,1.1,0.4,601,-448,-92,0,-12.1,174,110,-0.319,0.307,0.954,-0.967,-1.593
448,8/4/2023 08:30,15900.5,15908,15900.5,15908,97,TRUE,FALSE,6,37288,22,26,-0.222,-0.034,100,9.3,-0.413,-0.005,-0.005,0.571,-0.22,-0.103,0.014,0.364,-0.453,-0.57,-0.686,-1.036,171,-15,482,0,33,47,-0.377,-0.424,0.377,0.144,48,32,1,62,-0.377,-0.189,0,100,728,-0.349,0.137,0.438,0.924,-0.835,-1.136,-1.622,2.5,0.08,-0.269,-0.266,-0.195,-0.124,-0.078,-0.339,3.2,-2.2,-9.4,7.2,-0.173,-0.149,93,68,-0.1,0,49,49,-1,0.004,-0.194,0.202,-0.392,0.4,-0.59,0.597,-0.301,0.08,-0.059,-9.4,70,0.88,0.4,10,0.43,59,56,86,53,16.2,1,80,100,100,100,-0.0093,-0.011,-0.018,34,71,1.2,0.3,534,-502,-89,0,-3.3,171,111,-0.366,0.259,0.907,-1.014,-1.639
449,8/4/2023 08:30,15900.5,15900.5,15893,15893,74,FALSE,TRUE,1,37214,21,25,-0.108,0.081,93,9.7,-0.298,0.102,0.102,0.429,-0.125,-0.009,0.108,0.459,-0.359,-0.476,-0.593,-0.943,98,-10,398,0,38,26,-0.283,-0.33,0.472,0.046,43,34,0,52,-0.236,-0.071,0.094,86,457,-0.255,0.232,0.533,1.019,-0.742,-1.042,-1.529,2.2,-0.03,-0.165,-0.153,-0.082,-0.011,0.028,-0.224,3.1,-1.3,-7.8,6.5,-0.028,-0.048,92,38,0.06,0,-7,15,-7,0.098,-0.1,0.296,-0.298,0.494,-0.496,0.692,-0.171,0.11,-0.049,-7.8,70,0.81,0.4,27,0.24,53,54,90,49,15.9,0.71,87,90,90,71,-0.0076,-0.0093,0.086,24,68,1.1,0.4,473,-888,-92,-29,2.5,98,33,-0.272,0.354,1.002,-0.92,-1.546
450,8/4/2023 08:30,15893,15893,15885.5,15885.5,8,FALSE,FALSE,2,37206,20,25,-0.059,0.13,86,9.6,-0.235,0.155,0.155,0.286,-0.078,0.039,0.155,0.506,-0.312,-0.429,-0.546,-0.896,50,6,325,0,38,16,-0.236,-0.283,0.519,-0.002,40,38,0,49,-0.189,-0.024,0.142,63,-904,-0.208,0.279,0.58,1.067,-0.695,-0.996,-1.482,1.7,-0.08,-0.111,-0.087,-0.016,0.055,0.076,-0.156,2.8,-1.2,-6.5,5.3,0.02,0,91,22,0.19,0,-10,0,-10,0.145,-0.053,0.344,-0.251,0.542,-0.449,0.74,-0.092,0.13,-0.041,-6.5,70,0.38,0.4,30,0.14,50,52,93,45,15.5,0.58,90,76,76,57,-0.0061,-0.0077,0.129,13,58,0.9,0.5,411,-882,-94,-43,5.3,50,-58,-0.225,0.401,1.05,-0.873,-1.5
451,8/4/2023 08:30,15885.5,15885.5,15878,15878,109,FALSE,FALSE,3,37097,19,24,-0.025,0.164,57,9.4,-0.183,0.203,0.203,0.143,-0.031,0.086,0.203,0.553,-0.265,-0.382,-0.499,-0.849,7,18,231,0,38,5,-0.189,-0.236,0.567,-0.045,38,42,0,47,-0.142,0.024,0.189,36,-834,-0.161,0.327,0.628,1.115,-0.648,-0.949,-1.436,1.2,-0.11,-0.064,-0.031,0.039,0.11,0.113,-0.093,2.5,-1.6,-5.5,3.9,0.065,0.048,65,8,0.22,0,16,16,-8,0.193,-0.006,0.391,-0.204,0.589,-0.402,0.787,-0.017,0.12,-0.035,-5.5,60,0,0.37,25,0.05,47,49,92,41,15.3,0.45,88,57,57,43,-0.005,-0.0064,0.161,2,49,0.8,0.6,370,-886,-94,-57,5.2,7,-125,-0.178,0.449,1.097,-0.827,-1.453
452,8/4/2023 08:30,15885.5,15893,15885.5,15893,107,TRUE,TRUE,1,37204,18,23,-0.12,0.069,57,9.8,-0.275,0.12,0.12,0.143,-0.125,-0.009,0.108,0.459,-0.359,-0.476,-0.593,-0.943,53,22,205,0,40,10,-0.283,-0.33,0.472,0.046,39,37,0,53,-0.236,-0.071,0.094,24,-587,-0.255,0.232,0.533,1.019,-0.742,-1.042,-1.529,0.9,-0.04,-0.144,-0.105,-0.035,0.036,0.039,-0.194,2.9,-0.8,-4.6,3.8,-0.029,-0.046,39,15,0.56,0,9,13,-20,0.098,-0.1,0.296,-0.298,0.494,-0.496,0.692,-0.094,0.13,-0.029,-4.6,70,0.07,0.33,20,0.09,53,51,92,45,15.7,0.71,83,57,57,71,-0.004,-0.0052,0.093,8,54,0.8,0.6,335,-864,-91,-29,5,53,-25,-0.272,0.354,1.002,-0.92,-1.546
453,8/4/2023 08:30,15885.5,15885.5,15878,15878,73,FALSE,TRUE,1,37131,17,22,-0.036,0.152,57,10.2,-0.164,0.212,0.212,0.143,-0.031,0.086,0.203,0.553,-0.265,-0.382,-0.499,-0.849,-5,55,153,0,40,10,-0.189,-0.236,0.567,-0.045,35,38,0,47,-0.142,0.024,0.189,12,-620,-0.161,0.327,0.628,1.115,-0.648,-0.949,-1.436,0.3,-0.11,-0.049,-0.003,0.068,0.139,0.113,-0.066,2.2,-1.3,-3.9,2.6,0.063,0.049,61,15,0.62,0,-20,3,-23,0.192,-0.006,0.39,-0.204,0.588,-0.402,0.787,0,0.13,-0.025,-3.9,60,0.45,0.3,35,0.09,47,49,89,43,14.9,0.47,76,52,52,43,-0.0032,-0.0042,0.155,-1,45,0.8,0.6,300,-819,-59,-57,2.2,-5,-90,-0.178,0.449,1.097,-0.827,-1.453
454,8/4/2023 08:30,15885.5,15893,15885.5,15893,301,TRUE,TRUE,1,37432,16,21,-0.129,0.06,57,10.5,-0.221,0.113,0.113,0.286,-0.125,-0.009,0.108,0.459,-0.359,-0.476,-0.593,-0.943,44,63,214,0,42,24,-0.283,-0.33,0.472,0.046,37,34,0,51,-0.236,-0.071,0.094,10,-473,-0.255,0.232,0.533,1.019,-0.742,-1.042,-1.529,0.1,-0.01,-0.14,-0.088,-0.017,0.053,0.013,-0.121,1.6,-0.5,-3.2,2.7,-0.031,-0.046,74,38,0.82,0,-9,22,-21,0.097,-0.1,0.295,-0.298,0.493,-0.496,0.69,-0.094,0.15,-0.02,-3.2,60,0.35,0.27,28,0.24,52,51,86,45,13.3,0.67,71,62,62,71,-0.0024,-0.0033,0.045,5,51,0.9,0.5,300,-759,496,-29,2.5,44,41,-0.272,0.354,1.002,-0.92,-1.546
